user_id,signup_date,user_segment,initial_plan,acquisition_channel,country
user_000041,2025-12-09,business,enterprise,organic,India
user_000042,2025-05-21,developer,free,organic,Other
user_000043,2025-10-24,content_creator,free,paid_ad,Other
user_000044,2025-07-31,business,enterprise,organic,USA
user_000045,2025-08-09,business,pro,partnership,USA
user_000046,2025-07-08,student,pro,organic,Other
user_000047,2025-01-07,developer,free,paid_ad,USA
user_000048,2025-11-27,developer,free,paid_ad,Germany
user_000049,2025-08-11,content_creator,free,social_media,USA
user_000050,2025-02-15,student,free,paid_ad,USA
user_000051,2025-10-13,content_creator,free,paid_ad,Other
user_000052,2024-09-13,business,free,paid_ad,Other
user_000053,2025-11-24,business,pro,organic,Australia
user_000054,2025-08-22,student,enterprise,paid_ad,USA
user_000055,2025-03-26,business,pro,partnership,USA
user_000056,2024-10-25,developer,free,organic,Germany
user_000057,2025-01-21,student,free,organic,India
user_000058,2025-11-13,business,free,paid_ad,USA
user_000059,2025-10-19,developer,free,organic,France
user_000060,2025-06-03,student,free,organic,Brazil
user_000061,2025-07-26,business,enterprise,referral,USA
user_000062,2025-03-31,developer,pro,referral,Australia
user_000063,2025-01-26,business,free,organic,Japan
user_000064,2025-05-24,business,pro,organic,Other
user_000065,2025-12-24,business,enterprise,partnership,USA
user_000066,2025-04-14,student,pro,referral,Australia
user_000067,2025-03-06,business,enterprise,organic,Brazil
user_000068,2025-02-04,business,enterprise,paid_ad,USA
user_000069,2025-02-07,student,free,organic,USA
user_000070,2025-12-21,business,free,social_media,UK
user_000071,2025-07-22,business,enterprise,organic,Other
user_000072,2025-12-19,developer,free,organic,UK
user_000073,2025-04-04,student,free,paid_ad,UK
user_000074,2025-02-26,student,pro,organic,Other
user_000075,2025-10-01,content_creator,pro,paid_ad,UK
user_000076,2025-09-11,developer,free,organic,Australia
user_000077,2025-03-27,student,free,paid_ad,UK
user_000078,2024-11-16,content_creator,free,social_media,Canada
user_000079,2025-08-24,business,pro,referral,USA
user_000080,2025-06-04,content_creator,free,paid_ad,India
user_000081,2025-01-28,content_creator,free,social_media,Japan
user_000082,2024-09-29,developer,free,paid_ad,USA
user_000083,2025-10-13,business,pro,paid_ad,USA
user_000084,2025-02-19,developer,free,referral,USA
user_000085,2025-08-29,content_creator,free,paid_ad,India
user_000086,2025-09-08,developer,free,referral,France
user_000087,2025-06-02,developer,free,partnership,India
user_000088,2025-02-22,developer,pro,paid_ad,Japan
user_000089,2025-12-27,student,free,partnership,Brazil
user_000090,2025-10-01,student,free,referral,India
user_000091,2025-10-10,business,pro,paid_ad,USA
user_000092,2025-10-18,student,free,paid_ad,USA
user_000093,2025-03-18,developer,free,organic,India
user_000094,2025-02-10,developer,free,referral,USA
user_000095,2025-07-25,content_creator,free,organic,UK
user_000096,2025-08-11,business,pro,partnership,France
user_000097,2024-04-03,content_creator,free,referral,Australia
user_000098,2025-05-30,business,enterprise,referral,Germany
user_000099,2025-02-01,developer,free,organic,USA
user_000100,2025-05-23,student,free,paid_ad,USA
user_000101,2024-06-21,student,free,paid_ad,USA
user_000102,2024-11-24,student,free,organic,UK
user_000103,2025-04-11,developer,pro,organic,France
user_000104,2025-02-24,business,free,organic,India
user_000105,2025-04-24,business,pro,partnership,Canada
user_000106,2025-12-16,student,free,organic,USA
user_000107,2025-09-13,developer,free,organic,Canada
user_000108,2024-12-23,student,free,referral,USA
user_000109,2025-12-20,business,free,organic,USA
user_000110,2025-12-18,student,free,referral,USA
user_000111,2025-08-28,student,free,referral,Australia
user_000112,2024-11-09,student,enterprise,referral,USA
user_000113,2025-05-05,content_creator,free,organic,Australia
user_000114,2024-10-23,business,enterprise,social_media,Japan
user_000115,2025-06-07,student,pro,partnership,USA
user_000116,2025-07-23,business,pro,paid_ad,France
user_000117,2025-11-15,content_creator,pro,organic,Brazil
user_000118,2025-06-21,developer,free,organic,USA
user_000119,2025-01-04,business,free,partnership,USA
user_000120,2025-09-25,business,free,organic,Other
user_000121,2025-10-02,developer,free,referral,Canada
user_000122,2025-07-03,student,pro,organic,USA
user_000123,2025-03-30,student,free,paid_ad,India
user_000124,2025-10-11,content_creator,free,referral,USA
user_000125,2024-11-09,content_creator,free,organic,India
user_000126,2025-01-06,student,free,paid_ad,France
user_000127,2025-07-17,business,free,organic,USA
user_000128,2025-01-02,developer,free,paid_ad,USA
user_000129,2025-07-30,business,pro,organic,Australia
user_000130,2025-11-22,content_creator,free,paid_ad,UK
user_000131,2024-08-10,developer,pro,paid_ad,Japan
user_000132,2024-09-14,content_creator,free,organic,USA
user_000133,2025-03-29,student,enterprise,organic,France
user_000134,2025-10-26,student,free,paid_ad,India
user_000135,2025-11-18,content_creator,enterprise,organic,Germany
user_000136,2025-10-09,student,pro,organic,USA
user_000137,2024-12-14,student,free,organic,USA
user_000138,2025-08-15,content_creator,free,organic,Canada
user_000139,2025-06-16,student,free,social_media,Japan
user_000140,2025-09-10,student,pro,paid_ad,India
user_000141,2025-12-03,student,pro,organic,USA
user_000142,2025-10-12,content_creator,free,organic,USA
user_000143,2025-09-24,student,pro,paid_ad,India
user_000144,2024-07-20,developer,free,organic,USA
user_000145,2025-12-19,developer,pro,paid_ad,Other
user_000146,2025-09-14,business,free,organic,France
user_000147,2025-09-07,content_creator,pro,organic,Germany
user_000148,2025-07-03,student,free,organic,USA
user_000149,2025-11-17,student,free,paid_ad,USA
user_000150,2025-11-03,business,pro,paid_ad,USA
user_000151,2025-12-22,content_creator,free,paid_ad,Other
user_000152,2025-07-25,student,free,organic,UK
user_000153,2025-08-28,student,pro,organic,India
user_000154,2025-06-08,business,pro,organic,Other
user_000155,2025-02-16,student,free,paid_ad,India
user_000156,2025-12-28,developer,pro,paid_ad,USA
user_000157,2025-07-06,business,enterprise,referral,USA
user_000158,2025-12-25,business,free,referral,UK
user_000159,2025-07-10,business,enterprise,partnership,USA
user_000160,2025-05-28,student,pro,paid_ad,Japan
user_000161,2025-03-26,content_creator,free,partnership,India
user_000162,2025-07-23,developer,free,paid_ad,India
user_000163,2025-04-08,content_creator,free,paid_ad,Germany
user_000164,2025-10-21,developer,free,referral,Canada
user_000165,2025-05-13,business,pro,partnership,Other
user_000166,2024-07-14,content_creator,free,paid_ad,Australia
user_000167,2025-06-09,business,pro,paid_ad,France
user_000168,2025-09-08,content_creator,free,paid_ad,Other
user_000169,2025-09-22,content_creator,free,social_media,Australia
user_000170,2025-05-10,business,pro,partnership,France
user_000171,2024-07-11,business,free,social_media,Other
user_000172,2025-10-11,business,pro,organic,Germany
user_000173,2025-06-11,business,pro,partnership,USA
user_000174,2025-03-22,student,free,organic,India
user_000175,2025-10-27,student,free,organic,Brazil
user_000176,2025-02-17,student,pro,organic,India
user_000177,2025-02-26,content_creator,free,referral,Other
user_000178,2024-12-14,student,free,organic,Germany
user_000179,2025-06-02,student,free,referral,USA
user_000180,2025-06-29,content_creator,free,paid_ad,Germany
user_000181,2025-03-24,business,enterprise,social_media,USA
user_000182,2025-09-19,student,pro,organic,Germany
user_000183,2025-12-02,content_creator,free,referral,Germany
user_000184,2025-09-01,content_creator,free,paid_ad,France
user_000185,2025-11-11,student,free,social_media,Germany
user_000186,2025-06-10,content_creator,free,referral,USA
user_000187,2025-10-11,content_creator,free,organic,India
user_000188,2025-07-20,business,enterprise,partnership,USA
user_000189,2025-06-29,business,enterprise,partnership,USA
user_000190,2025-12-20,developer,free,partnership,Australia
user_000191,2025-12-25,student,enterprise,referral,UK
user_000192,2024-05-12,student,free,paid_ad,Canada
user_000193,2025-08-11,student,pro,social_media,USA
user_000194,2024-06-15,developer,pro,paid_ad,Other
user_000195,2024-08-29,developer,pro,social_media,USA
user_000196,2024-11-28,content_creator,pro,organic,India
user_000197,2025-11-26,developer,free,paid_ad,Canada
user_000198,2025-12-14,student,free,referral,USA
user_000199,2024-10-16,content_creator,free,paid_ad,Other
user_000200,2025-05-05,developer,free,partnership,Australia
user_000201,2025-09-19,developer,free,partnership,UK
user_000202,2025-01-10,content_creator,free,referral,India
user_000203,2025-09-03,student,free,organic,Japan
user_000204,2024-11-14,developer,free,organic,France
user_000205,2025-01-30,developer,pro,organic,USA
user_000206,2024-03-10,business,enterprise,organic,USA
user_000207,2024-12-29,content_creator,free,organic,USA
user_000208,2025-02-15,student,free,organic,USA
user_000209,2025-07-18,student,pro,paid_ad,France
user_000210,2024-10-27,content_creator,free,social_media,USA
user_000211,2025-11-20,student,free,paid_ad,Other
user_000212,2025-06-27,developer,free,paid_ad,India
user_000213,2024-09-13,business,free,social_media,USA
user_000214,2025-08-31,content_creator,free,organic,Other
user_000215,2025-06-16,content_creator,free,organic,Canada
user_000216,2025-09-06,business,enterprise,partnership,USA
user_000217,2025-02-08,content_creator,free,paid_ad,UK
user_000218,2025-06-03,developer,free,organic,USA
user_000219,2024-09-04,business,enterprise,organic,USA
user_000220,2025-11-02,student,free,paid_ad,India
user_000221,2024-11-10,content_creator,free,paid_ad,France
user_000222,2025-10-02,business,enterprise,social_media,UK
user_000223,2025-01-28,student,free,organic,USA
user_000224,2025-05-04,business,enterprise,referral,Japan
user_000225,2025-12-23,business,enterprise,social_media,Germany
user_000226,2025-12-09,developer,pro,organic,USA
user_000227,2025-04-01,student,free,organic,Australia
user_000228,2025-05-21,student,free,paid_ad,USA
user_000229,2025-01-29,student,free,organic,UK
user_000230,2025-10-21,student,free,organic,USA
user_000231,2025-08-25,developer,free,organic,Canada
user_000232,2025-06-10,content_creator,free,referral,USA
user_000233,2025-03-16,content_creator,free,paid_ad,Canada
user_000234,2025-05-18,developer,free,organic,USA
user_000235,2024-11-25,developer,free,organic,USA
user_000236,2024-12-30,student,free,referral,India
user_000237,2025-10-31,business,free,partnership,USA
user_000238,2025-12-07,developer,pro,paid_ad,Germany
user_000239,2025-05-29,student,free,organic,USA
user_000240,2025-08-25,business,enterprise,partnership,USA
user_000241,2025-02-18,business,pro,referral,UK
user_000242,2025-04-18,content_creator,free,organic,India
user_000243,2025-07-11,developer,pro,organic,France
user_000244,2025-11-03,business,free,organic,USA
user_000245,2025-10-16,student,free,organic,France
user_000246,2025-10-14,content_creator,pro,paid_ad,Other
user_000247,2025-08-31,student,free,social_media,Germany
user_000248,2024-09-06,developer,free,organic,USA
user_000249,2025-07-10,developer,free,paid_ad,USA
user_000250,2024-09-18,business,enterprise,partnership,Germany
user_000251,2025-06-20,content_creator,free,referral,Brazil
user_000252,2025-11-01,content_creator,free,organic,India
user_000253,2024-08-27,developer,free,social_media,USA
user_000254,2025-07-09,student,free,organic,UK
user_000255,2025-07-17,content_creator,free,organic,USA
user_000256,2025-04-18,content_creator,free,referral,Germany
user_000257,2024-10-11,developer,free,organic,France
user_000258,2025-12-02,student,pro,organic,Germany
user_000259,2025-04-24,developer,enterprise,paid_ad,UK
user_000260,2025-12-12,student,free,organic,Japan
user_000261,2025-09-13,business,enterprise,partnership,Canada
user_000262,2025-09-04,content_creator,free,organic,UK
user_000263,2025-01-29,developer,pro,paid_ad,USA
user_000264,2024-09-18,developer,pro,organic,France
user_000265,2025-11-25,business,free,paid_ad,France
user_000266,2025-05-09,developer,free,referral,France
user_000267,2024-12-21,business,pro,paid_ad,Canada
user_000268,2025-06-11,developer,free,referral,UK
user_000269,2025-04-01,content_creator,pro,paid_ad,Australia
user_000270,2025-12-15,content_creator,enterprise,paid_ad,USA
user_000271,2025-07-19,content_creator,enterprise,referral,Japan
user_000272,2025-02-23,developer,free,social_media,India
user_000273,2025-11-13,developer,pro,organic,France
user_000274,2025-12-02,content_creator,free,paid_ad,Other
user_000275,2025-06-14,developer,free,organic,USA
user_000276,2025-02-13,content_creator,enterprise,organic,USA
user_000277,2025-11-11,business,pro,partnership,USA
user_000278,2025-11-08,content_creator,free,organic,Canada
user_000279,2024-03-30,content_creator,free,organic,Australia
user_000280,2025-10-04,content_creator,free,organic,USA
user_000281,2024-08-04,content_creator,free,referral,India
user_000282,2025-12-02,developer,free,organic,India
user_000283,2024-12-01,developer,free,paid_ad,USA
user_000284,2025-09-11,content_creator,free,partnership,USA
user_000285,2025-07-10,content_creator,enterprise,paid_ad,UK
user_000286,2025-08-31,content_creator,enterprise,organic,USA
user_000287,2025-04-21,student,pro,paid_ad,France
user_000288,2025-04-14,student,free,paid_ad,Japan
user_000289,2025-10-22,developer,free,paid_ad,Germany
user_000290,2024-08-29,business,enterprise,paid_ad,USA
user_000291,2025-01-18,developer,free,social_media,India
user_000292,2025-07-25,business,free,partnership,USA
user_000293,2025-10-23,content_creator,pro,organic,USA
user_000294,2025-11-27,content_creator,pro,social_media,UK
user_000295,2025-07-05,business,pro,partnership,India
user_000296,2025-10-04,business,free,social_media,Japan
user_000297,2025-04-08,content_creator,free,paid_ad,USA
user_000298,2025-06-02,student,free,organic,USA
user_000299,2025-04-26,business,enterprise,paid_ad,Other
user_000300,2024-09-16,business,pro,paid_ad,Japan
user_000301,2025-12-17,student,free,paid_ad,Japan
user_000302,2024-09-04,developer,pro,organic,UK
user_000303,2025-08-20,student,free,social_media,UK
user_000304,2025-08-07,student,free,organic,Germany
user_000305,2024-11-01,developer,pro,paid_ad,UK
user_000306,2025-03-03,student,free,paid_ad,Other
user_000307,2025-12-05,content_creator,free,organic,Australia
user_000308,2025-11-30,content_creator,free,organic,Canada
user_000309,2025-04-07,business,pro,organic,India
user_000310,2025-11-15,business,enterprise,partnership,Germany
user_000311,2025-07-11,student,free,organic,USA
user_000312,2024-06-19,student,free,organic,Japan
user_000313,2025-08-22,student,free,organic,Other
user_000314,2025-07-18,student,pro,referral,USA
user_000315,2025-09-03,business,pro,social_media,USA
user_000316,2025-10-23,business,pro,organic,Other
user_000317,2025-12-04,content_creator,free,organic,USA
user_000318,2025-04-09,developer,pro,organic,Other
user_000319,2025-11-13,business,free,social_media,India
user_000320,2025-03-28,developer,free,paid_ad,USA
user_000321,2024-12-11,business,pro,partnership,Germany
user_000322,2025-08-03,business,enterprise,organic,USA
user_000323,2025-08-08,student,free,referral,UK
user_000324,2025-07-06,student,free,organic,Other
user_000325,2025-10-31,content_creator,free,organic,USA
user_000326,2025-06-09,developer,free,organic,Germany
user_000327,2025-10-01,content_creator,pro,social_media,Other
user_000328,2025-05-05,developer,free,organic,India
user_000329,2025-02-21,content_creator,free,organic,UK
user_000330,2025-02-22,student,pro,organic,USA
user_000331,2025-04-03,student,pro,paid_ad,India
user_000332,2025-04-01,content_creator,free,social_media,India
user_000333,2025-01-29,business,pro,organic,India
user_000334,2025-09-08,business,pro,referral,Australia
user_000335,2025-11-25,content_creator,pro,referral,UK
user_000336,2025-08-06,content_creator,free,paid_ad,USA
user_000337,2025-10-17,content_creator,free,partnership,Canada
user_000338,2025-12-23,developer,free,referral,USA
user_000339,2025-10-14,business,free,referral,India
user_000340,2024-11-25,developer,free,paid_ad,India
user_000341,2025-07-14,student,free,paid_ad,USA
user_000342,2025-10-08,business,free,paid_ad,Japan
user_000343,2025-09-28,content_creator,free,referral,UK
user_000344,2025-12-25,student,free,referral,France
user_000345,2024-06-20,student,free,partnership,Japan
user_000346,2025-08-09,student,pro,paid_ad,USA
user_000347,2025-08-25,student,pro,organic,Canada
user_000348,2025-12-15,developer,free,organic,USA
user_000349,2025-09-21,developer,free,referral,Other
user_000350,2025-10-07,business,free,organic,USA
user_000351,2025-09-11,content_creator,free,organic,USA
user_000352,2025-04-20,business,pro,partnership,France
user_000353,2025-09-22,student,free,organic,USA
user_000354,2025-02-05,student,enterprise,organic,USA
user_000355,2025-09-26,developer,free,organic,Other
user_000356,2025-03-10,student,free,paid_ad,UK
user_000357,2025-11-04,business,enterprise,partnership,USA
user_000358,2025-09-30,content_creator,free,paid_ad,USA
user_000359,2025-01-20,content_creator,free,social_media,Canada
user_000360,2025-08-24,developer,free,organic,Canada
user_000361,2025-09-01,content_creator,free,paid_ad,Canada
user_000362,2025-10-19,developer,free,paid_ad,Other
user_000363,2025-12-11,content_creator,pro,paid_ad,USA
user_000364,2025-04-08,business,pro,partnership,USA
user_000365,2025-07-22,student,pro,social_media,Other
user_000366,2025-11-25,developer,free,social_media,Other
user_000367,2025-07-05,content_creator,pro,partnership,Other
user_000368,2024-04-22,business,pro,organic,Other
user_000369,2025-12-27,content_creator,free,paid_ad,Other
user_000370,2025-06-22,business,free,organic,USA
user_000371,2025-02-28,content_creator,free,referral,Japan
user_000372,2025-10-15,student,free,social_media,Brazil
user_000373,2025-07-13,business,free,social_media,USA
user_000374,2025-04-09,developer,free,organic,USA
user_000375,2025-12-17,student,free,referral,USA
user_000376,2025-09-22,student,free,organic,USA
user_000377,2025-07-08,content_creator,pro,referral,USA
user_000378,2025-12-05,developer,free,paid_ad,USA
user_000379,2024-12-10,developer,pro,paid_ad,UK
user_000380,2025-06-24,content_creator,free,paid_ad,USA
user_000381,2025-10-14,developer,pro,organic,UK
user_000382,2024-09-20,student,free,organic,India
user_000383,2025-08-07,content_creator,free,organic,India
user_000384,2025-01-22,developer,free,organic,India
user_000385,2025-06-16,business,pro,paid_ad,USA
user_000386,2025-10-31,content_creator,pro,organic,Japan
user_000387,2025-08-09,student,free,organic,USA
user_000388,2025-12-11,business,free,partnership,USA
user_000389,2025-10-19,content_creator,pro,partnership,Germany
user_000390,2025-12-28,content_creator,free,social_media,Other
user_000391,2025-09-18,content_creator,free,paid_ad,Canada
user_000392,2025-01-01,content_creator,free,paid_ad,France
user_000393,2024-03-16,developer,free,organic,Canada
user_000394,2025-07-21,content_creator,pro,organic,USA
user_000395,2025-12-12,content_creator,pro,organic,Japan
user_000396,2025-10-18,content_creator,pro,organic,USA
user_000397,2024-07-06,developer,free,referral,USA
user_000398,2025-05-22,student,free,organic,Australia
user_000399,2025-07-08,developer,free,referral,France
user_000400,2025-08-17,content_creator,free,organic,USA
user_000401,2025-09-10,developer,free,organic,USA
user_000402,2025-11-24,business,enterprise,social_media,UK
user_000403,2025-12-22,content_creator,pro,paid_ad,Japan
user_000404,2025-05-29,content_creator,free,organic,France
user_000405,2025-11-14,content_creator,free,referral,Japan
user_000406,2025-08-02,business,enterprise,referral,USA
user_000407,2025-01-21,developer,free,social_media,Australia
user_000408,2025-10-03,developer,free,organic,Canada
user_000409,2025-11-22,student,free,referral,France
user_000410,2025-06-28,student,pro,organic,Other
user_000411,2025-12-12,developer,enterprise,organic,Other
user_000412,2025-02-18,content_creator,free,organic,Other
user_000413,2025-10-21,student,free,paid_ad,UK
user_000414,2025-07-12,content_creator,free,organic,Other
user_000415,2025-11-11,content_creator,pro,organic,UK
user_000416,2025-02-03,student,free,organic,Other
user_000417,2025-05-29,student,free,organic,UK
user_000418,2025-07-06,business,pro,social_media,USA
user_000419,2025-12-21,business,pro,paid_ad,USA
user_000420,2024-12-24,student,pro,paid_ad,Other
user_000421,2025-09-03,content_creator,free,organic,Australia
user_000422,2025-09-13,business,enterprise,paid_ad,Australia
user_000423,2025-09-27,developer,free,paid_ad,UK
user_000424,2025-09-12,student,free,paid_ad,India
user_000425,2025-07-29,developer,free,paid_ad,USA
user_000426,2024-05-23,business,enterprise,social_media,Japan
user_000427,2024-10-25,business,free,organic,USA
user_000428,2025-11-03,content_creator,free,organic,UK
user_000429,2025-08-03,content_creator,enterprise,organic,Canada
user_000430,2025-09-07,business,enterprise,partnership,USA
user_000431,2025-07-29,content_creator,free,organic,USA
user_000432,2025-06-06,content_creator,pro,paid_ad,Australia
user_000433,2025-07-19,developer,free,organic,Australia
user_000434,2025-06-26,business,free,organic,Other
user_000435,2025-08-03,business,free,partnership,USA
user_000436,2025-08-12,business,enterprise,partnership,UK
user_000437,2024-12-18,developer,free,referral,UK
user_000438,2025-04-14,business,enterprise,organic,Other
user_000439,2025-07-07,student,enterprise,organic,UK
user_000440,2025-04-19,business,enterprise,partnership,UK
user_000441,2024-06-27,student,free,partnership,India
user_000442,2025-12-13,content_creator,free,paid_ad,Canada
user_000443,2025-08-25,developer,pro,referral,USA
user_000444,2025-09-29,developer,free,referral,USA
user_000445,2024-03-30,developer,free,organic,USA
user_000446,2025-01-08,developer,free,paid_ad,UK
user_000447,2025-04-26,developer,free,paid_ad,USA
user_000448,2025-03-22,content_creator,free,organic,Other
user_000449,2025-12-24,business,pro,organic,UK
user_000450,2025-03-27,developer,free,organic,UK
user_000451,2025-06-30,content_creator,free,organic,USA
user_000452,2025-08-15,student,free,organic,USA
user_000453,2025-04-14,business,pro,partnership,USA
user_000454,2025-11-03,content_creator,pro,partnership,USA
user_000455,2025-12-15,content_creator,free,organic,Other
user_000456,2025-03-21,business,pro,paid_ad,Germany
user_000457,2025-05-08,developer,pro,organic,USA
user_000458,2025-08-14,student,free,paid_ad,India
user_000459,2025-06-19,business,enterprise,paid_ad,USA
user_000460,2025-11-04,student,pro,paid_ad,India
user_000461,2025-02-17,student,free,referral,Japan
user_000462,2025-12-28,developer,free,paid_ad,India
user_000463,2025-09-21,business,pro,partnership,UK
user_000464,2025-07-23,business,pro,organic,France
user_000465,2025-04-27,student,free,organic,Other
user_000466,2025-05-20,student,pro,partnership,UK
user_000467,2025-03-01,developer,free,paid_ad,Germany
user_000468,2025-06-12,student,free,referral,Germany
user_000469,2025-04-21,content_creator,free,organic,UK
user_000470,2024-11-04,business,enterprise,organic,USA
user_000471,2025-01-23,content_creator,free,paid_ad,UK
user_000472,2025-04-07,student,free,referral,USA
user_000473,2025-09-05,business,pro,organic,Other
user_000474,2024-12-29,developer,free,paid_ad,Other
user_000475,2025-05-23,developer,free,paid_ad,UK
user_000476,2025-08-23,developer,free,paid_ad,UK
user_000477,2025-01-22,student,pro,referral,USA
user_000478,2025-11-22,developer,free,organic,India
user_000479,2025-11-19,content_creator,free,paid_ad,Germany
user_000480,2025-08-12,student,free,referral,Germany
user_000481,2025-09-27,business,free,social_media,USA
user_000482,2024-11-06,developer,free,organic,Canada
user_000483,2025-05-30,content_creator,free,organic,USA
user_000484,2025-09-22,student,free,partnership,India
user_000485,2024-11-28,content_creator,free,paid_ad,USA
user_000486,2024-04-23,content_creator,free,referral,Other
user_000487,2025-07-05,content_creator,free,paid_ad,Australia
user_000488,2024-09-26,content_creator,free,referral,USA
user_000489,2025-07-23,content_creator,free,paid_ad,France
user_000490,2025-07-28,student,free,organic,France
user_000491,2025-05-03,business,enterprise,organic,Canada
user_000492,2025-12-28,content_creator,free,referral,France
user_000493,2025-12-30,content_creator,free,organic,Japan
user_000494,2025-12-29,content_creator,pro,organic,Japan
user_000495,2025-04-25,student,pro,paid_ad,USA
user_000496,2025-01-23,developer,free,organic,UK
user_000497,2025-07-24,content_creator,free,referral,USA
user_000498,2025-11-17,content_creator,enterprise,paid_ad,USA
user_000499,2025-10-24,business,enterprise,partnership,Australia
user_000500,2025-11-20,developer,free,referral,Japan
user_000501,2025-09-16,student,free,paid_ad,USA
user_000502,2025-06-15,content_creator,free,social_media,USA
user_000503,2025-03-13,content_creator,pro,organic,Other
user_000504,2024-03-07,content_creator,pro,referral,France
user_000505,2025-09-11,content_creator,free,organic,India
user_000506,2025-06-04,developer,free,organic,Japan
user_000507,2025-08-09,content_creator,free,paid_ad,USA
user_000508,2024-08-05,student,free,referral,India
user_000509,2025-11-17,developer,free,organic,Other
user_000510,2025-09-20,developer,free,paid_ad,USA
user_000511,2025-03-10,business,pro,paid_ad,UK
user_000512,2024-12-21,business,pro,paid_ad,Canada
user_000513,2025-09-08,developer,pro,organic,India
user_000514,2025-02-06,developer,free,organic,Canada
user_000515,2025-12-27,business,pro,organic,USA
user_000516,2025-10-05,content_creator,free,organic,Brazil
user_000517,2025-10-20,developer,pro,organic,Other
user_000518,2025-07-20,developer,free,paid_ad,UK
user_000519,2025-08-29,student,free,paid_ad,Canada
user_000520,2024-10-01,business,free,partnership,Germany
user_000521,2025-12-20,content_creator,free,organic,USA
user_000522,2025-07-30,developer,free,paid_ad,France
user_000523,2025-11-14,student,free,organic,India
user_000524,2025-10-11,content_creator,free,organic,Brazil
user_000525,2025-07-04,business,free,paid_ad,Germany
user_000526,2025-12-24,content_creator,enterprise,social_media,USA
user_000527,2025-08-05,business,pro,social_media,France
user_000528,2025-10-19,business,free,organic,USA
user_000529,2024-08-25,developer,pro,paid_ad,Germany
user_000530,2025-05-28,content_creator,pro,organic,India
user_000531,2025-03-13,student,free,paid_ad,USA
user_000532,2025-07-23,business,pro,social_media,Australia
user_000533,2024-09-03,student,free,referral,Australia
user_000534,2024-09-30,developer,free,paid_ad,Germany
user_000535,2025-10-09,content_creator,pro,organic,Canada
user_000536,2024-12-20,student,enterprise,paid_ad,Japan
user_000537,2024-12-22,student,free,referral,USA
user_000538,2025-10-20,business,free,partnership,USA
user_000539,2025-09-29,developer,free,organic,India
user_000540,2025-07-07,content_creator,free,organic,USA
user_000541,2025-08-07,developer,pro,organic,India
user_000542,2025-11-19,developer,free,paid_ad,UK
user_000543,2025-12-10,developer,pro,paid_ad,Other
user_000544,2025-05-30,student,free,paid_ad,France
user_000545,2024-09-19,content_creator,free,paid_ad,Other
user_000546,2025-10-31,developer,enterprise,partnership,USA
user_000547,2025-03-16,content_creator,pro,organic,India
user_000548,2025-01-18,developer,free,organic,Germany
user_000549,2025-08-14,content_creator,free,referral,USA
user_000550,2025-10-16,business,free,organic,UK
user_000551,2025-04-22,developer,pro,social_media,Other
user_000552,2025-09-09,developer,pro,referral,USA
user_000553,2025-02-15,content_creator,free,organic,Other
user_000554,2024-10-09,student,pro,social_media,India
user_000555,2025-05-06,student,enterprise,organic,USA
user_000556,2025-11-05,developer,free,paid_ad,UK
user_000557,2025-02-14,business,free,paid_ad,Japan
user_000558,2025-10-07,student,free,organic,USA
user_000559,2025-10-22,developer,free,organic,USA
user_000560,2025-05-24,content_creator,free,partnership,USA
user_000561,2025-03-05,content_creator,free,organic,Canada
user_000562,2025-09-23,business,free,partnership,USA
